BenchmarkName,TestFilePath,TestCaseName,QuantidadeRotulosPositivo
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/group.js,Group Should pass error on failure,0
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/group.js,Group Should update its timeout,0
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/group.js,Group Should update its limiter options,0
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/group.js,Group Should call autocleanup,1
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/priority.js,Priority Should do basic ordering,1
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/priority.js,Priority Should support LEAK,1
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/priority.js,Priority Should support OVERFLOW,4
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/priority.js,Priority Should support OVERFLOW_PRIORITY,2
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/priority.js,Priority Should support BLOCK,1
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/priority.js,Priority Should have the right priority,1
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/promises.js,Promises Should support promises,1
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/promises.js,Promises Should pass error on failure,0
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/promises.js,Promises Should allow non-Promise returns,0
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/promises.js,Promises Should get rejected when rejectOnDrop is true,1
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/promises.js,Promises Should automatically wrap an exception in a rejected promise - schedule(),0
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/promises.js,Promises Wrap Should wrap,1
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/promises.js,Promises Wrap Should automatically wrap a returned value in a resolved promise,1
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/promises.js,Promises Wrap Should automatically wrap an exception in a rejected promise,0
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/promises.js,Promises Wrap Should inherit the original target for wrapped methods,1
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/promises.js,Promises Wrap Should inherit the original target on prototype methods,1
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/promises.js,Promises Wrap Should pass errors back,1
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/promises.js,Promises Wrap Should allow passing options,0
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/retries.js,Retries Should retry when requested by the user (sync),4
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/retries.js,Retries Should retry when requested by the user (async),2
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/retries.js,Retries Should not retry when user returns an error (sync),2
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/retries.js,Retries Should not retry when user returns an error (async),2
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/retries.js,Retries Should not retry when user returns null (sync),3
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/retries.js,Retries Should not retry when user returns null (async),2
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/states.js,States Should be created and be empty,0
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/states.js,States Should start new series,0
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/states.js,States Should increment,0
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/states.js,States Should remove,0
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/states.js,States Should return current status,0
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/states.js,States Should return job ids for a status,0
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/stop.js,Stop Should stop and drop the queue,1
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/stop.js,Stop Should stop and let the queue finish,1
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/stop.js,Stop Should still resolve when rejectOnDrop is false,0
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/stop.js,Stop Should not allow calling stop() twice when dropWaitingJobs=true,0
SGrodin,/home/pedroubuntu/Downloads/nacd/SGrondin_bottleneck/test/stop.js,Stop Should not allow calling stop() twice when dropWaitingJobs=false,0
